Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.7.1,0.5122,1.0,0.8292682926829268,0.8780487804878049,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.39.1,0.4211,0.4067796610169492,0.5087719298245614,0.5614035087719298,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.121,0.2381,0.1333333333333333,0.5714285714285714,0.6666666666666666,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.120.1,0.3864,0.2236842105263158,0.5,0.5909090909090909,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.43.6,0.9623,0.75,0.9622641509433962,1.0,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.26,0.1633,0.3809523809523809,0.3061224489795918,0.3469387755102041,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.129,0.2941,0.9375,0.4313725490196078,0.4509803921568627,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.2,0.4808,0.925925925925926,0.7307692307692307,0.75,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.36.1,0.1509,0.5,0.6037735849056604,0.6226415094339622,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.43.4,0.8113,0.8775510204081632,0.9056603773584906,0.9056603773584906,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.125,0.6042,0.725,0.7708333333333334,0.7708333333333334,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.46,0.175,0.6363636363636364,0.575,0.675,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4,0.2326,0.6666666666666666,0.6046511627906976,0.813953488372093,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.6,0.98,1.0,0.98,0.98,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.35,0.6078,0.543859649122807,0.7058823529411765,0.7254901960784313,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.48,0.75,0.7894736842105263,0.85,0.875,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.42,0.4,1.0,0.4888888888888889,0.5555555555555556,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.34.1,0.2545,0.9333333333333332,0.5454545454545454,0.5636363636363636,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.2.1,0.9423,1.0,0.9423076923076924,0.9615384615384616,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.62,0.4909,0.7297297297297297,0.5636363636363636,0.6545454545454545,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.25.3,0.2857,0.3043478260869565,0.5102040816326531,0.5306122448979592,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.36,0.6379,0.7254901960784313,0.6551724137931034,0.6896551724137931,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.57,0.4,0.631578947368421,0.55,0.5833333333333334,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.25,0.0435,0.1818181818181818,0.3043478260869565,0.3695652173913043,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.39,0.0,0.0,0.0,0.0784313725490196,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.8,0.9615,0.925925925925926,0.9615384615384616,0.9615384615384616,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.9,0.7812,0.6493506493506493,0.8125,0.8125,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.110,0.8077,0.5185185185185185,0.8846153846153846,0.8846153846153846,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.111,0.84,0.875,0.88,0.88,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.5,0.8409,0.3978494623655914,0.8409090909090909,0.8863636363636364,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.3,0.6866,0.7540983606557377,0.7313432835820896,0.7313432835820896,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.43,0.3542,0.1752577319587628,0.6666666666666666,0.7708333333333334,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.44,0.1642,0.6470588235294118,0.373134328358209,0.5373134328358209,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.3,0.0377,0.1111111111111111,0.1320754716981132,0.1886792452830188,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.107,0.2353,0.2448979591836734,0.3529411764705882,0.4509803921568627,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.10,0.8846,1.0,0.903846153846154,0.903846153846154,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.20,0.4151,0.360655737704918,0.5471698113207547,0.6037735849056604,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.114,0.0714,0.6666666666666666,0.2142857142857142,0.25,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.34,0.58,0.6041666666666666,0.68,0.76,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.7,0.9322,0.7432432432432432,0.9322033898305084,0.9322033898305084,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.5,0.5455,0.7894736842105263,0.6545454545454545,0.6727272727272727,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.25.1,0.0,0.0,0.0,0.0612244897959183,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.41,0.6957,0.2882882882882883,0.8260869565217391,0.8260869565217391,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.9.2,0.3103,0.75,0.7068965517241379,0.7586206896551724,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.14,0.2807,0.8,0.631578947368421,0.7543859649122807,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.116.1,0.3889,0.3559322033898305,0.5,0.5185185185185185,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.75,0.1373,0.5384615384615384,0.4901960784313725,0.6862745098039216,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.67,0.4419,0.6333333333333333,0.627906976744186,0.7209302325581395,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.120,0.5952,0.9615384615384616,0.7619047619047619,0.8095238095238095,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.99.2,0.7925,0.1673306772908366,0.7924528301886793,0.8679245283018868,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.9,0.7547,0.7407407407407407,0.7735849056603774,0.8113207547169812,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.103,0.1176,0.1111111111111111,0.2352941176470588,0.4117647058823529,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.118,0.0488,0.2,0.0975609756097561,0.2195121951219512,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.112,0.0,0.0,0.0476190476190476,0.119047619047619,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.6,0.8852,0.9642857142857144,0.9016393442622952,0.918032786885246,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.2,0.8276,0.4,0.9310344827586208,0.9655172413793104,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
